CMDLINE python test_server.py
MEM 0.203125 1701365355.0609
MEM 21.375000 1701365355.1694
MEM 21.375000 1701365355.2793
MEM 21.375000 1701365355.3930
MEM 21.375000 1701365355.5072
MEM 21.375000 1701365355.6193
MEM 21.375000 1701365355.7264
MEM 21.375000 1701365355.8362
MEM 21.375000 1701365355.9451
MEM 21.375000 1701365356.0509
MEM 21.468750 1701365356.1567
